,CustomerKey,BirthDate,YearlyIncome,TotalChildren,EnglishEducation,EnglishOccupation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
0,11000,4/8/1966,90000,2,Bachelors,Professional,0,1-2 Miles,49,1
1,11001,5/14/1965,60000,3,Bachelors,Professional,1,0-1 Miles,50,1
2,11002,8/12/1965,60000,3,Bachelors,Professional,1,2-5 Miles,50,1
3,11003,2/15/1968,70000,0,Bachelors,Professional,1,5-10 Miles,47,1
4,11004,8/8/1968,80000,5,Bachelors,Professional,4,1-2 Miles,47,1
5,11005,8/5/1965,70000,0,Bachelors,Professional,1,5-10 Miles,50,1
6,11006,12/6/1965,70000,0,Bachelors,Professional,1,5-10 Miles,49,1
7,11007,5/9/1964,60000,3,Bachelors,Professional,2,0-1 Miles,51,1
8,11008,7/7/1964,60000,4,Bachelors,Professional,3,10+ Miles,51,1
9,11009,4/1/1964,70000,0,Bachelors,Professional,1,5-10 Miles,51,1
10,11010,2/6/1964,70000,0,Bachelors,Professional,1,5-10 Miles,51,1
11,11011,11/4/1963,60000,4,Bachelors,Professional,4,10+ Miles,51,1
12,11012,1/18/1968,100000,2,Bachelors,Management,2,1-2 Miles,47,0
13,11013,8/6/1968,100000,2,Bachelors,Management,3,0-1 Miles,47,0
14,11014,5/9/1968,100000,3,Bachelors,Management,3,1-2 Miles,47,0
15,11015,2/27/1979,30000,0,Partial College,Skilled Manual,1,5-10 Miles,36,1
16,11016,4/28/1979,30000,0,Partial College,Skilled Manual,1,5-10 Miles,36,1
17,11017,6/26/1944,20000,4,High School,Skilled Manual,2,5-10 Miles,71,1
18,11018,10/9/1944,30000,2,Partial College,Clerical,2,5-10 Miles,70,1
19,11019,3/7/1978,40000,0,High School,Skilled Manual,2,5-10 Miles,37,0
20,11020,9/20/1978,40000,0,High School,Skilled Manual,2,1-2 Miles,36,1
21,11021,9/3/1978,40000,0,Partial College,Skilled Manual,1,1-2 Miles,37,1
22,11022,10/12/1978,40000,0,Partial College,Skilled Manual,1,5-10 Miles,36,1
23,11023,10/11/1978,40000,0,Partial College,Skilled Manual,1,1-2 Miles,36,0
24,11024,9/17/1978,60000,0,Partial College,Skilled Manual,2,5-10 Miles,36,0
25,11025,12/23/1945,10000,2,Partial High School,Clerical,2,1-2 Miles,69,1
26,11026,4/3/1946,30000,2,Partial College,Clerical,2,1-2 Miles,69,1
27,11027,12/7/1946,30000,2,Partial College,Clerical,2,5-10 Miles,68,1
28,11028,4/11/1946,30000,2,Partial College,Clerical,2,1-2 Miles,69,1
29,11029,12/21/1946,30000,2,Partial College,Clerical,2,1-2 Miles,68,1
30,11030,2/22/1947,10000,2,Partial High School,Clerical,2,1-2 Miles,68,1
31,11031,8/22/1947,20000,4,High School,Skilled Manual,2,1-2 Miles,68,1
32,11032,6/11/1947,20000,4,High School,Skilled Manual,2,1-2 Miles,68,1
33,11033,9/23/1947,20000,4,High School,Skilled Manual,2,5-10 Miles,67,1
34,11034,6/19/1947,20000,4,High School,Skilled Manual,2,5-10 Miles,68,1
35,11035,2/24/1948,10000,2,Partial High School,Clerical,2,1-2 Miles,67,1
36,11036,12/18/1978,60000,0,Partial College,Skilled Manual,2,1-2 Miles,36,1
37,11037,11/27/1977,40000,0,Partial High School,Clerical,2,5-10 Miles,37,1
38,11038,3/23/1948,10000,2,Partial High School,Clerical,2,5-10 Miles,67,1
39,11039,12/17/1948,30000,3,Partial College,Clerical,2,5-10 Miles,66,1
40,11040,8/1/1977,30000,0,Partial College,Skilled Manual,2,1-2 Miles,38,1
41,11041,10/16/1977,60000,0,Partial College,Skilled Manual,2,1-2 Miles,37,1
42,11042,6/13/1977,70000,0,Partial College,Skilled Manual,2,0-1 Miles,38,1
43,11043,2/24/1976,60000,0,Partial College,Skilled Manual,2,5-10 Miles,39,0
44,11044,5/24/1949,20000,2,Partial High School,Clerical,2,1-2 Miles,66,1
45,11045,5/19/1950,30000,3,High School,Skilled Manual,2,1-2 Miles,65,0
46,11046,3/22/1950,30000,3,High School,Skilled Manual,2,5-10 Miles,65,1
47,11047,2/27/1950,30000,3,High School,Skilled Manual,2,1-2 Miles,65,1
48,11048,11/22/1950,30000,3,High School,Skilled Manual,2,5-10 Miles,64,1
49,11049,7/18/1980,40000,0,Partial High School,Clerical,2,5-10 Miles,35,0
50,11050,9/7/1951,30000,3,High School,Skilled Manual,2,5-10 Miles,64,1
51,11051,8/4/1951,30000,3,High School,Skilled Manual,2,1-2 Miles,64,0
52,11052,8/7/1951,40000,2,Partial College,Clerical,2,5-10 Miles,64,1
53,11053,8/20/1980,60000,0,Partial College,Skilled Manual,2,1-2 Miles,35,1
54,11054,3/10/1952,40000,2,Partial College,Skilled Manual,2,5-10 Miles,63,1
55,11055,3/5/1952,40000,2,Partial College,Skilled Manual,2,5-10 Miles,63,1
56,11056,4/3/1953,40000,3,Partial College,Skilled Manual,2,5-10 Miles,62,1
57,11057,10/12/1953,70000,2,Graduate Degree,Management,2,1-2 Miles,61,1
58,11058,4/27/1954,80000,2,Partial College,Skilled Manual,2,1-2 Miles,61,1
